State,Poverty,Total
AL,784,4036
AK,65,638
AZ,1156,5572
AR,475,2476
CA,5441,33640
CO,538,4882
CT,324,3248
DE,106,852
DC,113,563
FL,3253,16818
GA,1833,8267
HI,151,1231
ID,204,1453
IL,1380,11303
IN,880,5622
IA,321,2779
KS,404,2445
KY,851,3514
LA,854,3745
ME,165,1175
MD,566,5326
MA,782,5995
MI,1259,8593
MN,428,5030
MS,563,2384
MO,582,5364
MT,121,897
NE,192,1666
NV,371,2493
NH,94,1199
NJ,1004,7932
NM,400,1636
NY,2791,16854
NC,1509,8378
ND,82,681
OH,1550,9885
OK,551,3336
OR,478,3551
PA,1542,11022
RI,123,921
SC,683,4107
SD,118,730
TN,973,5632
TX,4036,23360
UT,279,2725
VT,65,544
VA,894,7322
WA,819,6374
WV,261,1534
WI,654,5082
WY,56,518
