Year,Total_Number,White_Number,White_not_Hispanic_Number,Black_Number,Asian_Number,Hispanic_Number
2015,43123,28566,17786,10797,2234,12133
2014,46657,31089,19652,11581,2268,13104
2013,45794,30612,19174,11561,2186,13050
2012,46496,30816,18940,11809,2072,13616
2011,46247,30849,19171,11730,2189,13244
2010,46343,31083,19251,11597,2064,13522
2009,43569,29830,18530,10575,1901,12350
2008,39829,26990,17024,9882,1686,10987
2007,37276,25120,16032,9668,1467,9890
2006,36460,24416,16013,9447,1447,9243
2005,36950,24872,16227,9517,1501,9368
2004,37040,25327,16908,9411,1295,9122
2003,35861,24272,15902,9108,1527,9051
2002,34570,23466,15567,8884,1243,8555
2001,32907,22739,15271,8136,1275,7997
2000,31581,21645,14366,7982,1258,7747
1999,32791,22169,14735,8441,1285,7876
1998,34476,23454,15799,9091,1360,8070
1997,35574,24396,16491,9116,1468,8308
1996,36529,24650,16462,9694,1454,8697
1995,36425,24423,16267,9872,1411,8574
1994,38059,25379,18110,10196,974,8416
1993,39265,26226,18882,10877,1134,8126
1992,38014,25259,18202,10827,985,7592
1991,35708,23747,17741,10242,996,6339
1990,33585,22326,16622,9837,858,6006
,,,,,,
